Registration Number,Annual Turnover
20354,22837792
20355,25248657
20356,23660971
20357,44946567
20358,37784131
20359,32769014
20360,26778948
20361,30898130
20362,31714776
20363,26279701
20364,38669522
20365,18922932
20366,31264590
20367,18230010
20368,30626620
20369,41636207
20370,36993455
20371,51887931
20372,36216227
20373,28762812
20374,19748347
20375,27097900
20376,20678514
20377,28196874
20378,33876842
20379,32267198
20380,30980185
20381,38600701
20382,24083288
20383,35012940
20384,53537373
20385,20487838
20386,24503364
20387,21381933
20388,19882975
20389,26733870
20390,51421097
20391,21902508
20392,42465348
20393,22582612
20394,15047529
20395,26260842
20396,32572069
20397,32932099
20398,30974756
20399,25782447
20400,22056160
20401,27935902
20402,29039608
20403,32785724
20404,19370086
20405,38138185
20406,46629162
20407,21356057
20408,17999601
20409,28033955
20410,25681270
20411,23251052
20412,30388313
20413,25056729
20414,25950343
20415,25095215
20416,31405575
20417,34505818
20418,22562805
20419,8286133
20420,33536757
20421,28476654
20422,34091201
20423,29631861
20424,31641709
20425,19990791
20426,28592369
20427,26546017
20428,39077611
20429,36808905
20430,22796815
20431,29032127
20432,16453348
20433,37536763
20434,21886072
20435,39892191
20436,36614250
20437,36485621
20438,33117724
20439,37541481
20440,21069038
20441,19344848
20442,29893648
20443,27172803
20444,31043272
20445,28420714
20446,19061611
20447,17243528
20448,23110821
20449,42339664
20450,28962617
20451,32668607
20452,15326930
20453,26704903
20454,34095559
20455,47690617
20456,16165035
20457,44694685
20458,28054373
20459,28919174
20460,26325820
20461,39722135
20462,22332496
20463,36159351
20464,23947887
20465,43692968
20466,28837322
20467,15294717
20468,16327467
20469,45021707
20470,20444586
20471,31529103
20472,32009942
20473,42586252
20474,18322814
20475,33750080
20476,15890464
20477,28939671
20478,42081337
20479,33764858
20480,26374309
20481,40395610
20482,31576738
20483,31408617
20484,38140259
20485,32897040
20486,15533486
20487,14151220
20488,31585489
20489,28215157
20490,22066219
20491,30200932
20492,35545868
20493,29669935
20494,28492892
20495,32591122
20496,34492128
20497,31636063
20498,35122050
20499,42916517
20500,30644715
